name,lat ,lon,銘柄
早川酒店,36.0629038,138.0630875,"['信濃錦']"
エスポア　ももせ - （有）百瀬酒店,36.0562221,138.0487237,"['信濃錦']"
三河屋酒店,35.5187828,137.8291709,"['信濃錦']"
（株）松屋　後藤酒店,35.513843,137.8184051,"['蓬莱泉']"
（有）ショパーズ　シオザワ,35.5164027,137.7959987,"['信濃錦']"
（有）井田屋酒店,35.8379582,137.9809634,"['信濃錦']"
（株）みやざわ,36.2960843,137.9050695,"['大雪渓']"
酒一番　どんぺり,36.3443742,137.8593078,"['信濃錦', '大雪渓']"
（株）藤森,36.705357,137.8666818,"['大雪渓']"
（有）下條屋,34.7797845,137.4182756,"['蓬莱泉']"
（株）サンヨネ　東店,34.7605574,137.4143311,"['蓬莱泉']"
富岡屋本店,34.7693231,137.3822831,"['蓬莱泉']"
（株）三河屋,34.7644572,137.3841767,"['若竹', '蓬莱泉']"
（株）サンヨネ　魚町本店,34.7658301,137.3888419,"['蓬莱泉']"
酒のリカプラ新城店 - （株）Ａ－ＵＮ（だわり屋）,34.9024844,137.4879195,"['蓬莱泉']"
マルシメ　平野酒店,34.6678116,137.2717152,"['若竹', '蓬莱泉']"
寿酒販（株）,34.7609709,137.3612074,"['若竹', '蓬莱泉']"
伊勢屋酒店,34.7585612,137.381592,"['若竹', '蓬莱泉']"
安形商店,34.7513474,137.3819771,"['蓬莱泉']"
（株）サンヨネ　高師店,34.7232624,137.3869982,"['蓬莱泉']"
（有）吟酒館たからや,34.8129883,137.3695463,"['蓬莱泉']"
（株）サンヨネ　豊川店,34.8179464,137.3847314,"['蓬莱泉']"
（株）サンヨネ　蒲郡店,34.8241863,137.2326995,"['蓬莱泉']"
やっこ酒店,34.8624141,137.0103772,"['若竹', '蓬莱泉']"
浪漫酒創庫あつみ（有）,34.9456904,137.1631931,"['蓬莱泉', '若戎']"
（株）すぎた,34.9785544,137.159959,"['蓬莱泉']"
（株）中島屋,34.903512,137.2042522,"['蓬莱泉']"
（株）近藤環商店,35.0019779,136.9929461,"['蓬莱泉']"
（株）おかだや,35.1704092,136.8876322,"['長良川', '蓬莱泉']"
（株）酒泉洞堀一,35.1918249,136.8734216,"['仙禽', '若竹', '蓬莱泉']"
（有）美濃庄,35.157255,136.8767483,"['蓬莱泉']"
（株）知多繁,35.1434884,136.9305685,"['蓬莱泉', '若戎']"
（株）三祐,35.1516035,136.9427949,"['蓬莱泉']"
（有）成田屋酒店,35.0181655,137.1333493,"['蓬莱泉']"
（株）米利,34.8518666,136.91961,"['蓬莱泉']"
リカーショップ　グランツ - （有）グランツ,35.00853,136.9665447,"['蓬莱泉', '若戎']"
（株）酒のうかい,35.2618523,136.9793834,"['蓬莱泉']"
（株）オカヤマ,35.2850323,137.0357072,"['蓬莱泉']"
リカーショップ　いとり,35.2005299,136.7337779,"['若戎']"
（株）松本酒店,35.1567274,138.8573075,"['若竹']"
（株）静鉄ストア　大岡店,35.1147659,138.8776172,"['若竹']"
（有）丸茂芹澤酒店,35.0926471,138.8608739,"['仙禽', '若竹', '開運']"
（株）松井酒店,35.0297371,138.9322644,"['若竹', '開運']"
日野屋酒店　三島市 - （有）酒忠,35.1141933,138.9316258,"['若竹']"
（有）輿水酒店,35.1184769,138.9102844,"['若竹', '開運']"
かのや本店 - 石垣醤油（株）,35.1160396,138.9030871,"['若竹']"
しずてつストア - （株）静鉄ストア　長泉店,35.1361414,138.9075704,"['若竹']"
（株）しまだ,35.2984309,138.9306307,"['若竹', '開運']"
近江屋 - （株）近江屋商店,35.0959014,139.0718266,"['若竹', '開運']"
エスポア　みまつや - （有）みまつや,35.1652353,138.6493301,"['若竹', '開運']"
（株）イケタニ,35.1576827,138.6437018,"['若竹', '開運']"
酒のやまき,35.2584768,138.6218342,"['若竹', '開運']"
ブンゴヤ,35.223215,138.6157229,"['若竹', '開運']"
山田屋 - 山田屋酒店,35.2701196,138.6210926,"['若竹', '開運']"
（有）丸屋酒店,35.078232,138.9378182,"['天覧山', '若竹', '開運']"
村上酒店,35.0007528,138.4153196,"['若竹', '開運']"
（株）もちづき岳美店,35.007833,138.3867683,"['若竹', '開運']"
しずてつストア新静岡セノバ店 - （株）静鉄ストア　新静岡セノバ店,34.975677,138.3874351,"['若竹']"
（株）マツキヤ,34.9449874,138.3557952,"['若竹', '開運']"
スーパーカネハチ 榛原店 - （株）カネハチ,34.7474927,138.2293153,"['若竹', '開運']"
（株）スーパーラック　相良店,34.6867081,138.1906189,"['若竹', '開運']"
こめや - 原口酒店,34.6313545,138.1955386,"['若竹', '開運']"
（株）YSP 小林酒店,35.0066841,138.2796992,"['若竹', '開運']"
やまだ酒店,35.1170125,138.5972415,"['若竹', '開運']"
にしきや - （株）ハギニシキ,34.9493159,138.3972082,"['若竹', '開運']"
田島酒店,35.0434964,138.4503765,"['若竹', '開運']"
リカーランド　マツナガ - （有）松永酒店,35.0336357,138.467468,"['若竹', '開運']"
ワインショップ　モチヅキ,35.0338497,138.4908852,"['若竹', '開運']"
（株）ぬまた旭町酒店,35.0179227,138.4891973,"['若竹', '開運', '司牡丹']"
酒のｕマート - （株）ユーマート,35.0030077,138.4691811,"['若竹', '開運']"
エスポア　イケヤ - （有）イケヤ,35.0029031,138.4820007,"['若竹', '開運']"
（有）さくらい,34.8365404,138.3225757,"['若竹', '開運']"
藤八酒店,34.8665228,138.3034048,"['若竹', '開運']"
西郷酒店,34.8576203,138.2681546,"['若竹', '開運']"
ワイン＆リカーズＳＯＮＥ,34.8518493,138.2537354,"['若竹', '開運']"
（有）原田酒店,34.8327094,138.182473,"['若竹', '開運']"
